year,day,name,electedName_en,electedName_it,electedName_es
1484,August 29,Giovanni Battista Cibo,Innocent VIII,Innocenzo VIII,Inocencio VIII
1503,November 1,Giuliano della Rovere,Julius II,Giulio II,Julio II
1513,March 11,Giovanni de Medici,Leo X,Leone X,Leon X
1534,October 13,Alessandro Farnese,Paul III,Paolo III,Paulo III
1644,September 15,Giovanni Battista Pamphili,Innocent X,Innocenzo X,Inocencio X
1655,April 7,Fabio Chigi,Alexander VII,Alessandro VII,Alejandro VII
1676,September 21,Benedetto Odeschalchi,Innocent XI,Innocenzo XI,Inocencio XI
1721,May 8,Michelangelo Conti,Innocent XIII,Innocenzo XIII,Inocencio XIII
1724,May 29,Vincenzo Maria Orsini,Pope Benedict XIII,Papa Benedetto XIII,Papa Benedicto XIII
1775,February 15,Giovanni Angelo Braschi,Pope Pius VI,Papa Pio VI,Papa Pío VI
1823,September 28,Annibale Della Genga,Pope Leo XII,Papa Leone XII,Papa León XII
1831,February 2,Mauro Cappellari,Pope Gregory XVI,Papa Gregorio XVI,Papa Gregorio XVI
1846,June 16,Giovanni Maria Mastai Ferretti,Pope Pius IX,Papa Pio IX,Papa Pío IX
1939,March 2,Eugenio Pacelli,Pope Pius XII,Papa Pio XII,Papa Pío XII
1958,October 28,Angelo Giuseppe Roncalli,Pope John XXIII,Papa Giovanni XXIII,Papa Juan XXIII
1963,June 21,Giovanni Battista Montini,Pope Paul VI,Papa Paolo VI,Papa Pablo VI
1978,August 26,Albino Luciani,Pope John Paul I,Papa Giovanni Paolo I,Papa Juan Pablo I
1978,October 16,Karol Wojtyła,Pope John Paul II,Papa Giovanni Paolo II,Papa Juan Pablo II
2005,April 19,Joseph Ratzinger,Pope Benedict XVI,Papa Benedetto XVI,Papa Benedicto XVI
2013,March 13,Jorge Mario Bergoglio,Pope Francis,Papa Francesco,Papa Francisco
